country,name,description,start_date,end_date,start_month,end_month,outcome,casualties,economic_damage (in millions)
Canada,Mass shooting,"The Dawson College shooting occurred on September 13, 2006, at Dawson College, a CEGEP located in downtown Montreal, Quebec, Canada.",2006-10-13,2006-10-13,10,10,"One victim died at the scene, while another 19 were injured, eight of whom were listed in critical condition, with six requiring surgery.",2,0
Canada,Mass shooting,Gabriel Wortman committed multiple shootings and set fires at 16 locations in the Canadian province of Nova Scotia.,2020-04-18,2020-04-19,4,4,22 people were killed and three others injured before Wortman was shot and killed by the Royal Canadian Mounted Police (RCMP) in Enfield.,22,0
Canada,Flood,"The 2019 spring floods in Ontario, Quebec and New Brunswick were exceptional floods in eastern Ontario, southern Quebec and from the St.John River region to New Brunswick, Canada. ",2019-03-14,2019-05-14,3,5,"In Quebec, 6681 residences of 51 municipalities were flooded in five main zones, including the greater Montreal area, and 3458 residences were isolated due to landslides and submerged roads resulting in over 13500 disaster victims.",1,208
Canada,Mass shooting," The Danforth shooting, was a mass shooting that occurred on Danforth Avenue in the Greektown neighbourhood of Toronto, Ontario, Canada, on the night of July 22, 2018.",2018-07-22,2018-07-22,7,7,"Faisal Hussain killed two people and wounded thirteen using a Smith & Wesson M&P .40-calibre handgun. He committed suicide after a shootout with Toronto Police Service (TPS) officers. Despite a year long investigation, authorities were unable to determine a motive for the shooting.",2,0
Canada,Tornado,"A destructive, two-day tornado outbreak affected the Great Lakes region of the United States and the National Capital Region of Canada in late-September. ",2018-10-20,2018-10-21,10,10,"Numerous tornadoes touched down in Minnesota on the initial day of the outbreak, including a high-end EF2 tornado that caused major damage in Morristown, Minnesota. Other damage occurred in Eastern Ontario due to downburst winds from the severe thunderstorms. One death was reported as a result of straight-line winds that occurred during the outbreak, and 31 people were injured.",1,295
Canada,Wildfire,"A two-hectare wildfire began west of 100 Mile House, British Columbia, Canada marking the beginning of the record-breaking 2017 wildfire season in British Columbia.",2017-07-06,2017-10-15,7,10,"A total of 12,161 square kilometres (1.2 million hectares) had burned by the end of the 2017 fire season, the largest total area burned in a fire season in recorded history (1.3% of BC total area). This record was broken the following year, with five of BC's worst 10 fire seasons occurring since 2010.",0,216
Canada,Flood,Spring snowfall and heavy rain caused floods in southern Quebec on 3 May 2017.,2017-04-05,2017-05-30,4,5," In total, 5,371 residences were flooded, 4,066 people were forced from their homes, and 261 municipalities were affected, largely in the Outaouais Region, the Greater Montreal Area, the Montérégie, the Mauricie, the Gaspésie and the Côte-Nord regions.",0,1000
Canada,Mass shooting,"The Quebec City mosque shooting (French: Attentat de la grande mosquée de Québec) was a terrorist attack by 27-year-old Alexandre Bissonnette on the evening of January 29, 2017, at the Islamic Cultural Centre of Quebec City, a mosque in the Sainte-Foy neighbourhood of Quebec City, Canada. ",2017-01-29,2017-01-29,1,1,Six worshippers were killed and five others seriously injured after evening prayers when a man entered the prayer hall shortly before 8:00 pm and opened fire for about two minutes with a 9mm Glock pistol. Approximately 40 people were reported present at the time of the shooting.,6,0
Canada,Heat wave,"From 1 to 6 July 2018, the air temperature consistently rose above 35 °C (95.0 °F) in parts of Quebec and Ontario. ",2018-07-01,2018-07-06,7,7,"At least 70 deaths in Quebec were heat-related, the United States, where 18 states between Michigan and New Mexico issued heat advisories to a population of over 60 million people, and of Mexico, particularly the northwest and central regions.",70,0
United States,Hurricane,"Hurricane Katrina was a large and destructive Category 5 Atlantic hurricane that caused over 1,800 fatalities.",2005-08-23,2005-08-31,8,8,"It caused over 1,800 fatalities and $125 billion in damage in late August 2005, especially in the city of New Orleans and the surrounding areas. It was at the time the costliest tropical cyclone on record and is now tied with 2017's Hurricane Harvey. ",1800,125000
United States,Hurricane,"Hurricane Sandy was the deadliest, the most destructive, and the strongest hurricane of the 2012 Atlantic hurricane season. ",2012-10-22,2012-11-02,10,11,The storm inflicted nearly $70 billion (2012 USD) in damage and killed 233 people across eight countries from the Caribbean to Canada.,233,70000
United States,Hurricane,Hurricane Irma was an extremely powerful Cape Verde hurricane that caused widespread destruction across its path in September 2017.,2017-08-30,2017-09-14,8,9,"The storm caused catastrophic damage in Barbuda, Saint Barthélemy, Saint Martin, Anguilla, and the Virgin Islands as a Category 5 hurricane. The hurricane caused at least 134 deaths: one in Anguilla; one in Barbados; three in Barbuda; four in the British Virgin Islands; 10 in Cuba; 11 in the French West Indies; one in Haiti; three in Puerto Rico; four on the Dutch side of Sint Maarten; 92 in the contiguous United States, and four in the U.S. Virgin Islands.",82,77160
United States,Wildfire,"The Camp Fire was the deadliest and most destructive wildfire in California's history, and the most expensive natural disaster in the world in 2018 in terms of insured losses.",2018-11-08,2018-11-25,11,11,"The fire caused at least 85 civilian fatalities, with one person still missing as of August 2, 2019, and injured 12 civilians and five firefighters. It covered an area of 153,336 acres (620.5 km2; 239.6 sq mi), and destroyed more than 18,000 structures, with most of the destruction occurring within the first four hours. The towns of Paradise and Concow were almost completely destroyed, each losing about 95% of their structures. ",85,16650
United States,Mass shooting,"19-year-old Nikolas Cruz opened fire on students and staff at Marjory Stoneman Douglas High School in Parkland, Florida.",2018-02-14,2018-02-14,2,2,Cruz murdered 17 people and injured 17 others.,17,0
United States,Flood,"The May 2010 Tennessee floods were 1,000-year[2] floods in Middle Tennessee, West Tennessee, south-central and western Kentucky and northern Mississippi areas of the United States of America.",2010-05-01,2010-05-07,5,5,"The floods were the result of torrential rains on May 1 and 2, 2010. Floods from these rains affected the area for several days afterwards, resulting in a number of deaths and widespread property damage.",31,2300
United States,Blizzard,"The February 2007 North American blizzard was a massive winter storm that affected most of the eastern half of North America, starting on February 12, 2007 and peaking on Valentine's Day, February 14.",2007-02-12,2007-02-17,2,2,"The southern portion of the storm produced severe thunderstorms with numerous tornadoes reported. One tornado hit a subdivision of New Orleans that was still recovering from the effects of Hurricane Katrina, which hit the region in August 2005. In total, this storm system was responsible for 37 deaths across 13 U.S. states and Canadian provinces of New Brunswick, Ontario and Quebec. The NOAA classified the storm as a Category 3 ""Major"" storm.",37,58.32
United States,Mass shooting,"The Sandy Hook Elementary School shooting occurred on December 14, 2012, in Newtown, Connecticut, United States, when 20-year-old Adam Lanza shot and killed 26 people.",2012-12-14,2012-12-14,12,12,"The incident is the deadliest mass shooting at an elementary school in U.S. history, and the fourth-deadliest mass shooting overall. The shooting prompted renewed debate about gun control in the United States, including proposals to make the background-check system universal.",28,0
United States,Tornado,"Preceded by more than a week of heavy rain, a slow-moving storm system dropped tremendous precipitation across much of Texas and Oklahoma during the nights of May 24–26, 2015, triggering record-breaking floods.",2015-05-22,2015-05-25,5,5,"Many areas reported tornado activity and lightning. Particularly hard hit were areas along the Blanco River in Hays County, Texas, where entire blocks of homes were leveled. ",30,3000
United States,Tornado,"The February 2009 North American storm complex occurred on February 10 and February 11, 2009, affecting portions of both the Central and Eastern United States.",2009-02-10,2009-02-11,2,2,"The most destructive of the weather events, a long-track EF4 tornado, traveled for nearly an hour through four counties in Oklahoma during the evening of February 10. It destroyed 114 residences in Lone Grove alone. All casualties (8 deaths and 46 injuries) from the outbreak were due to the tornado in the Lone Grove area in Carter County. It was the deadliest tornado to hit Oklahoma since May 3, 1999 and the strongest tornado during the month of February in Oklahoma since 1950.",8,2300
Mexico,Blizzard,"he 2011 Groundhog Day blizzard was a powerful and historic winter storm that affected large swaths of the United States, Mexico and Canada from January 31 to February 2, 2011, especially on Groundhog Day.",2011-01-31,2011-02-03,1,2,"The storm brought cold air, heavy snowfall, blowing snow, and mixed precipitation on a path from New Mexico and northern Texas to New England and Eastern Canada. The Chicago area saw 21.2 inches (54 cm) of snow and blizzard conditions, with winds of over 60 mph (100 km/h).",6,45
Mexico,Earthquake,The 2010 Baja California earthquake occurred on April 4 (Easter Sunday) with a moment magnitude of 7.2 and a maximum Mercalli intensity of VII (Very strong).,2010-04-04,2010-04-04,4,4,"The 89-second quake was widely felt throughout northwest Mexico and southern California. It was also the strongest to rock southern California in at least 18 years, if not longer: the next most recent comparable earthquake—the 1952 Kern County earthquake (M 7.3)—was 58 years earlier. ",4,1150
Mexico,Earthquake,The 2011 Guerrero earthquake struck with a moment magnitude of 5.7 in southern Mexico at 08:24 local time on 5 May. ,2011-05-05,2011-05-05,5,5,"Buildings swayed with the tremor in Mexico City, prompting evacuations and causing panic among many. Following the quake, police patrolled city streets for safety reasons and damage assessments were carried out across the affected region. There were no casualties, though two local police stations suffered slight damage",0,0
Mexico,Earthquake,The 2011 Zumpango earthquake occurred at 19:47 local time on 10 December with a moment magnitude of 6.5 and a maximum Mercalli intensity of VII (Very strong).,2011-12-10,2011-12-10,10,10,"Multiple deaths and injuries resulted from the earthquake, although the effects were minimized because the hypocenter was relatively deep at 65 kilometers (40 mi). The resulting damage was minimal, but during the panic people evacuated buildings in Mexico City.",3,NA
Mexico,Tropical storm,Tropical Storm Matthew was the fourth and deadliest tropical cyclone to make landfall in Central America during the 2010 Atlantic hurricane season.,2010-09-23,2010-09-28,9,9,"Throughout Central and South America, torrential rain produced by Matthew triggered widespread flooding and landslides. Eight people were killed by the storm in Venezuela, and at least 100 people have been confirmed dead throughout Central America and southern Mexico. In Mexico, a massive landslide, roughly 200 ft (61 m) long, buried nearly 300 homes. Initially, officials feared hundreds of casualties, but the impact was much less fatal than expected.",32,2000
Mexico,Protest,The 2017 Mexican protests were a series of protests against a hike in the price of gasoline by the Mexican government which came into effect on 1 January 2017.,2017-01-01,2017-01-10,1,1," Thousands of protestors marched, blocked highways and shut down state-owned gas stations. The rise in price—known in Mexico as the gasolinazo—was a result of president Enrique Peña Nieto's privatization of the Mexican oil industry. Other factors that led to the protests include high inflation, a weak peso, widespread violence due to the Mexican Drug War, and Peña Nieto's low approval rating and corruption allegations.",5,0
Mexico,Mass shooting,"On 9 March 2019, a mass shooting occurred in La Playa Men's Club, a nightclub in Salamanca, Guanajuato, Mexico. ",2019-03-09,2019-03-09,3,3,"Fifteen people were killed, and five to seven people were injured. Fourteen victims were later identified as Jalisco New Generation Cartel members. Witnesses described the attackers as a group of armed men who arrived in three vans.",15,0
Mexico,Mass murder,"The 2011 San Fernando massacre, also known as the second massacre of San Fernando, was the mass murder of 193 people by Los Zetas drug cartel at La Joya ranch in the municipality of San Fernando, Tamaulipas, Mexico in March 2011.",2011-03-24,2011-03-29,3,3,"Authorities investigating the massacre reported numerous hijackings of passenger buses on Mexican Federal Highway 101 in San Fernando, and the kidnapped victims were later killed and buried in 47 clandestine mass graves. The investigations began immediately after several suitcases and other baggage went unclaimed in Reynosa and Matamoros, Tamaulipas.",193,0
Mexico,Drought,The 2010–2013 Southern United States and Mexico drought was a severe to extreme drought that plagued the Southern United States and Mexico.,2010-08-01,2011-05-01,8,5,"Mexico saw serious impact from the drought which decimated crops, killed over a million cattle, and stressed local water and food supplies. The drought has been described as the worst seen in the country in 70 years.",0,7620
Mexico,Flood,"The 2007 Tabasco flood occurred in late October and early November 2007 in the Mexican states of Tabasco and Chiapas, in which as much as 80% of the former was left under water.",2007-10-29,2007-11-01,10,11,"At least 20,000 people were forced to seek emergency shelter.[2] Over 1,000,000 residents were affected.",4,480
Mali,Flood,"In the summer of 2020, a flood had deteriorated in Mali for 10 days according to the UN Office for the Coordination of Humanitarian Affairs.",2020-07-02,2020-08-20,7,8,"According to OCHA, as of 06 August, more than 13,200 people, including 5,400 internally displaced persons, were affected by floods in the country. The worst affected regions are Gao, Mopti, Ségou and Sikasso. A total of 1,160 homes have been destroyed.",0,NA
Mali,Flood,"Since 7th of August 2018, Mali has been affected by heavy rainfall, which peaked between 17 to 19 August, causing floods across the country.",2018-08-07,2018-09-17,8,9,"The floods affected more than 18,800 people, killed three and destroyed more than 3,200 houses. Herders have also lost around 1,800 heads of cattle. The national authorities supported by humanitarian partners are assisting the most vulnerable among those affected. ",13,0.215419
Mali,Mass murder,"Multiple people killed in several militant attacks in Mopti region on October 13, 2020",2020-10-13,2020-10-13,10,10,"At least 25 people were killed in several attacks carried out by militants in the Mopti region on Tuesday, October 13. ",25,0
Mali,Mass murder,Armed men who identified themselves as jihadists attacked farming villages in Mali’s central Mopti region.,2020-06-27,2020-07-03,6,7,"The attackers arrived on motorcycles Wednesday, killing men who were returning from their fields in the villages of Gouari, Djimdo, Pangadougou and Dialaikanda, according to Moulaye Guindo, the mayor of Bankass, the capital of the area.",33,0
Mali,Mass murder,Several people were killed in a targetted village fire in the volatile Mopti region in central Mali.,2020-06-05,2020-06-05,6,6,"Twenty-six people were killed and a village was burned. The attack targeted a Fulani village Binedama, said Aly Barry, an official from Tabital Pulaaku, a Fulani association. Two other local officials confirmed the attack and the death toll to the AFP news agency, adding that the village was torched and its chief killed.",26,NA
Mali,Protest,"During a protest against poor governance and fraud, calling for the resignation of the President in Mali, security forces opened fire on protestors.",2020-07-10,2020-07-12,7,7,"The protestors were brutally repressed by the security forces across Bamako, the capital, resulting in the deaths of at least 11 protesters and bystanders, and dozens being injured.",11,0
Mali,Mass shooting,"On March 23, 2019, several attacks by gunmen killed many Fulani herders in the villages of Ogossagou and Wellingara in central Mali.",2019-03-23,2019-03-23,3,3,"At least 160 Fulani herders were killed by the gunman. The massacre caused large protests in Mali against the government's perceived inaction, and led to the resignation of Prime Minister Soumeylou Boubèye Maïga and his ruling council. ",160,0
Mali,Mass shooting,An unidentified gunmen on motorbikes attacked two villages in central Mali.,2019-06-11,2019-06-11,6,6,"At least 41 people were killed in a part of the country where ethnic reprisal attacks have surged in recent months. The victims were mostly ethnic Dogons, said Issiaka Ganame, the mayor of Yoro, where 24 people were killed. Another 17 died in Gangafani ",41,0
Mali,Mass shooting,"In an attack on March 7, 2015, several people were shot dead and nine wounded in a restaurant on a busy street of Bamako, the capital of Mali.",2015-03-07,2015-03-07,3,3,Five people were shot dead in the attack. The jihadist group Al-Mourabitoun has claimed responsibility for the attack.,4,0
Mali,Famine,"A large-scale, drought-induced famine occurred in Africa's Sahel region and many parts of the neighbouring Sénégal River Area from February to August 2010.",2010-04-03,2010-09-18,4,9,"In 2010, more than 10 million people have been affected by the food crisis in the Sahel. Nearly 500,000 severely malnourished children were taken into care between January and November 2010 in Niger, Chad, Mali and Burkina Faso. Most of the livestock herds in the Sahel were decimated.",9,220
Pakistan,Earthquake,The 2005 Kashmir earthquake occurred on 8 October in Pakistani-administered Azad Kashmir. ,2005-10-08,2005-10-08,10,10," The severity of the damage caused by the earthquake is attributed to severe upthrust. Over 86,000 people died, a similar number were injured, and millions were displaced. It is considered the deadliest earthquake in South Asia, surpassing the 1935 Quetta earthquake.","86,000",5400
Pakistan,Earthquake,"The October 2015 Hindu Kush earthquake was a magnitude 7.5 earthquake that struck South Asia on 26 October 2015 with the epicenter 45 km north of `Alaqahdari-ye Kiran wa Munjan, Afghanistan, at a depth of 212.5 km.",2015-10-26,2015-10-26,10,10,"By 5 November, it was estimated that at least 399 people were killed, mostly in Pakistan. Tremors were felt in Pakistan, Uzbekistan, Turkmenistan, Tajikistan and Kyrgyzstan.",399,272
Pakistan,Earthquake,The 2013 Balochistan earthquakes took place in late September in southwestern Pakistan. ,2013-09-24,2013-09-24,9,9,"At at 825 people were killed and hundreds more were injured. On 28 September, a M6.8 aftershock occurred to the north at a depth of 14.8 kilometres (9.2 miles), killing at least 22 people. ",825,100
Pakistan,Flood,"The 2009 Karachi floods in Pakistan's financial centre, Karachi, were the result of the heaviest rains in the region in thirty years.",2009-07-19,2009-08-30,7,8,"The flooding killed at least 26 people and more than 150 people had been injured in a series of related incidents. Hundreds of homes were also damaged. Those killed either drowned, were electrocuted or died under collapsing roofs.",26,9500
Pakistan,Flood,"The 2011 Sindh floods was the highest-ever recorded rainfall between 11 August 2011, and 14 September 2011 in Sindh Province, Pakistan.",2011-08-11,2011-09-14,8,9,"Millions of people were affected due to the heavy rains that started in August, coinciding with monsoon season. Villages become particularly affected. The area of Sanghar was declared as the most dangerous region. In the aftermath of the monsoon rains, Oxfam warned that aid should be provided to Pakistanis or they will die. Approximately, 8,920,631 people were affected as a result of the floods and 433 people are said to have been killed.",434,440
Pakistan,Flood,"Floods in Pakistan began in late July 2010, resulting from heavy monsoon rains in the Khyber Pakhtunkhwa, Sindh, Punjab and, Balochistan regions of Pakistan, which affected the Indus River basin.",2010-07-26,2010-08-15,7,8,"Approximately one-fifth of Pakistan's total land area was affected by floods, with the Khyber Pakhtunkhwa province facing the brunt of the damage and casualties (above 90% of the deaths occurred in that Province). Nationwide, there were 1,985 deaths. According to Pakistani government data, the floods directly affected about 20 million people, mostly by destruction of property, livelihood and infrastructure.",1985,43000
Pakistan,Bombing,"On 27 October 2020, an explosion occurred during a class at a madrasa in Peshawar, Khyber Pakhtunkhwa, Pakistan",2020-10-27,2020-10-27,10,10,At least eight people were killed and another 110 injured. ,8,0
Pakistan,Mass shooting,"On 16 December 2014, six gunmen affiliated with the Tehrik-i-Taliban Pakistan (TTP) conducted a terrorist attack on the Army Public School in the northwestern Pakistani city of Peshawar.",2014-12-16,2014-12-16,12,12,"The militants entered the school and opened fire on school staff and children, killing 149 people including 132 schoolchildren ranging between eight and eighteen years of age, making it the world's fourth deadliest school massacre.",149,0
Pakistan,Bombing,"On 13 July 2018, ahead of Pakistan's general election, two bombings took place at election rallies in Bannu and Mastung.",2018-07-13,2018-07-13,7,7,"In Bannu, a remotely exploded bomb planted in a motorcycle left 5 people dead and 37 others wounded in an unsuccessful attempt to assassinate former Khyber Pakhtunkhwa chief minister Akram Khan Durrani. Ittehad-ul-Mujahideen, an extremist organization, claimed responsibility for the attack. One of the deadliest terrorist attacks in Pakistani history, it killed 149 people and wounded 186 others. Siraj was taken to hospital in critical condition and died of injuries.",154,0
Pakistan,Bombing,"The Karsaz bombing attack occurred on 18 October 2007 in Karachi, Pakistan; it was an attack on a motorcade carrying former Prime Minister Benazir Bhutto.",2007-10-18,2007-10-18,10,10,The bombing occurred two months before she was assassinated. The bombing resulted in at least 180 deaths and 500 injuries. Most of the dead were members of the Pakistan Peoples Party (PPP).,180,0
Nigeria,Flood,The 2012 Nigeria floods began in early July 2012 and 30 of Nigeria's 36 states were affected. ,2012-07-02,2012-10-09,7,10,"The flood killed 363 people and displaced over 2.1 million people as of 5 November 2012 and were termed as the worst in 40 years, and affected an estimated total of seven million people. The estimated damages and losses caused by the floods were N2.6 trillion.",363,10000
Nigeria,Flood,"The 2010 Nigerien floods were floods across Niger which spread along the River Niger into Nigeria, Ghana, and Benin over the next few months. ",2010-06-02,2010-12-29,6,12,"Nigeria has seen entire northern villages washed away and aid workers have finally worked out that 200,000 were made homeless in the Niger since the rains started falling in mid-August.",6,6500
Nigeria,Flood,"Severe flooding occurred in Nigeria in 2020, being fueled by climate change, with sea level rises and flooding, climbing temperatures, variable rainfall",2020-07-01,2020-07-12,7,7,"At least 68 people have died from flooding in various parts of Nigeria this year, while no less than 129,000 have been affected.",68,16.9
Nigeria,Bombing,The May 2011 northern Nigeria bombings happened in several towns in northern Nigeria on 29 May 2011.,2011-05-29,2011-05-29,5,5,"The first explosion struck the Zuba International Market in Abuja, killing two people (including a young girl) and injuring 11 others. Three blasts also struck the Mammy Market in Bauchi, near the headquarters of Nigeria's 33rd Artillery Brigade. Thirteen died and 40 were injured. Two bombs also went off in Zaria, seriously injuring four.",15,0
Nigeria,Mass shooting,"On 6 July 2013, gunmen attacked Government Secondary School in the village of Mamudo, Yobe State, Nigeria. ",2013-07-06,2013-07-06,6,6,"The attack killed at least 42 people. Most of the dead were students, with some staff members also killed.",42,0
Nigeria,Bombing,The 2015 Baga massacre was a series of mass killings carried out by the Boko Haram terrorist group in the north-eastern Nigerian town of Baga.,2015-01-03,2015-01-07,1,1,"Baga and at least 16 other towns are thought to have been destroyed as over 35,000 people are reported to have been displaced, with many feared to have drowned while trying to cross Lake Chad and others trapped on islands in the lake. The attacks are said to have resulted in Boko Haram extending its control to over 70% of Borno State.",150,0
Nigeria,Building collapse,A three-story school building collapsed in a densely populated area of Lagos.,2019-03-13,2019-03-13,3,3,Eight people had been killed after a three-story school building collapsed in a densely populated area of Lagos. Thirty-seven people were rescued from the rubble.,8,0
Nigeria,Protest,"On the night of 20 October 2020, at about 6:50 p.m., members of the Nigerian Army opened fire on unarmed End SARS protesters at the Lekki toll gate in Lagos State, Nigeria.",2020-10-20,2020-10-20,10,10," Amnesty International stated that at least 12 protesters were killed during the shooting. The Nigerian Army initially denied involvement in the shooting, but later stated that it had deployed soldiers to the toll gate on the orders of the governor of Lagos State. A month after the shooting, following a CNN documentary on the shooting, the Nigerian Army admitted to the Lagos Judiciary panel of inquiry into the shooting that it had deployed its personnel to the toll gate with both live and blank bullets.",12,0
Nigeria,Mass shooting,"The Zaria massacre was a massacre carried out by the Nigerian Army in Zaria, Kaduna State, Nigeria, on Saturday, 12 December 2015, against Shia Muslims, mostly members of the Islamic Movement in Nigeria.",2015-12-14,2015-12-14,12,12,"At least 348 civilians were killed, with 347 bodies secretly buried by the army in a masse grave. The Army claimed that it had responded to an attempt to assassinate Nigeria's Chief of Army Staff, Tukur Buratai, by the Islamic Movement in Nigeria. This claim has been strongly rejected by the Islamic Movement and several human rights organizations who argue that the massacre occurred without any provocation and that all the protestors were unarmed.",348,0
Nigeria,Mass shooting,"A series of assaults on businesses occurred in northeastern Nigeria on 5 and 6 January 2012, followed by attacks on police stations and government offices in the north on 20 January.",2012-12-05,2012-12-06,12,12,"Over 180 people were killed. Boko Haram dropped letters written in Hausa at the site of the attacks, announcing that they were protesting the continued detention of Boko Haram members. They also directly contacted the press to claim responsibility for the attacks. Officials in the city responded by setting a curfew and by initiating armed patrols of major streets, though sporadic gunfire was still heard the next day",222,0
Ethiopia,Drought,"Between July 2011 and mid-2012, a severe drought affected the entire East African region.",2011-07-01,2012-08-15,7,8,"Said to be ""the worst in 60 years"", the drought caused a severe food crisis across Somalia, Djibouti, Ethiopia and Kenya that threatened the livelihood of 9.5 million people. Many refugees from southern Somalia fled to neighboring Kenya and Ethiopia, where crowded, unsanitary conditions together with severe malnutrition led to a large number of deaths. Other countries in East Africa, including Sudan, South Sudan and parts of Uganda, were also affected by a food crisis.",10000,1300
Ethiopia,Volcanic eruption,"The 2011 Nabro eruption was an eruption of the Nabro stratovolcano in the Southern Red Sea Region of Eritrea, which began on 12 June 2011 after a series of earthquakes.",2011-06-12,2011-06-12,6,6,"The eruption killed seven and possibly a further 31 people and is estimated to be the highest altitude injection of sulfur dioxide (SO2) ever observed by satellite. The Mount Pinatubo eruption 20 years earlier emitted ten times more SO2. The ash cloud from the eruption reached altitudes which disrupted airline traffic in the region. Until the eruption began, the volcano had no records of historical eruptions.",7,3
Ethiopia,Flood,"The 2020 East Africa floods were a natural disaster in Rwanda, Kenya, Somalia, Burundi, Ethiopia, and Tanzania, affecting at least 700,000 people. ",2020-03-01,2020-05-30,3,5,"They began when excessive rains began falling in March, leading to massive flooding and landslides. They caused more than 430 deaths, notably in Kenya and Rwanda. In the fall another round of floods hit the African Sahel.",26,NA
Ethiopia,Flood,"In 2016, deadly floods hit Ethiopia, leaving several people dead and over 200,000 people homeless as seasonal rains came early to the country.",2016-04-06,2016-04-06,4,4,"The floods left at least 28 people dead and over 200,000 people homeless as seasonal rains come early to the country. The majority of these deaths occurred in the city of Jijiga while elsewhere, heavy downpours of rain were reported with more floods expected in the next few days.The floods are reportedly at higher levels than other flood travesties than that of previous years.",28,50
Ethiopia,Volcanic eruption,"An eruption of the Dabbahu Volcano located in the remote Afar Region of Ethiopia occurred on September 26, 2005.",2005-09-26,2005-09-26,9,9,"The eruption created a large fissure in the ground, known as the Dabbahu fissure. ",0,0
